t ,X,Y
0,29.85781991,29.75554514
1,38.15165877,24.38880707
2,48.34123223,32.31305978
3,53.31753555,30.92346833
4,63.74407583,32.03514149
5,74.88151659,35.18488212
6,78.19905213,50.95674512
7,78.19905213,56.76986937
8,67.77251185,66.17277155
9,49.76303318,70.31838605
10,39.81042654,77.28950318
11,31.99052133,72.9122901
12,25.11848341,74.20924212
13,18.95734597,63.69466679
14,19.43127962,57.48782496
15,13.27014218,55.24131877
16,15.16587678,45.8384166
17,14.4549763,41.60016266
18,22.03791469,34.58272582
19,19.43127962,28.76960157
20,26.54028436,29.32543815
21,32.22748815,26.45361581
22,37.44075829,26.91681297
23,51.8957346,26.33781653
24,61.13744076,31.57194434
