t,X,Y
0,49.80763198,23.18690283
1,46.57060961,27.79929912
2,43.16314815,31.08776685
3,37.71063774,34.46164933
4,33.92474591,37.45116544
5,28.18541155,41.50836589
6,22.61668027,45.01037048
7,20.11638418,46.50512854
8,17.16185552,46.37700642
9,11.82174408,43.51561243
10,9.663607627,39.06768495
11,8.30098326,33.94007418
12,6.42794317,28.8124634
13,5.521751687,23.91274644
14,5.298852669,18.44329494
15,5.471509379,15.99343646
16,5.867243471,13.25871072
17,6.338371291,10.46701152
18,7.193647141,8.529914113
19,8.859828818,6.307949444
20,9.97026822,5.054533476
21,11.29359145,3.687170603
22,12.6170247,3.003489167
23,14.4097155,2.433754636
24,17.01259703,2.433754636
25,19.14600097,2.262834277
26,21.70566764,2.376781183
27,24.26566436,2.490728089
28,26.56945237,3.003489167
29,28.19060394,3.744144056
30,30.45183719,4.712692758
31,32.4151321,5.624268007
32,33.95227429,7.219524693
33,34.42417222,9.04267519
34,34.34071293,12.46108237
35,33.61876717,14.45515323
36,32.04490105,16.39225063
37,29.78911357,18.89908257
38,27.9587637,21.34894105
39,25.57470685,23.85577298
40,22.76510237,25.73589694
41,18.5082509,26.19168456
